time,query
06-17-17,"Maryland, Illegal immigration"
06-17-17,"Fiduciary security, United States Department of Labor, Joe Biden, Finance, 401(k), Law"
06-17-17,"Joe Biden, Karine Jean-Pierre, White House Press Secretary"
06-17-17,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress"
06-17-17,"Joe Biden, Juneteenth, The White House, Barack Obama"
06-17-17,"Andrew Cuomo, New York, Pandemic"
06-17-17,"Jens Stoltenberg, Secretary General of NATO, NATO, Joe Biden"
06-17-18,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-18,"Maryland, Illegal immigration"
06-17-18,"United States presidential debates, Donald Trump, Joe Biden, Debate"
06-17-18,"Joe Biden, Juneteenth, The White House, Barack Obama"
06-17-18,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress"
06-17-18,"Donald Trump, Supreme Court of the United States"
06-17-18,"Kathy Hochul, New York, Mask, Protest, Antisemitism"
06-17-18,"Ballot, South Dakota, Primary election, Election official"
06-17-18,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-17-18,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-17-18,"Immigration, Joe Biden, Inflation"
06-17-18,"Joe Biden, Karine Jean-Pierre, White House Press Secretary"
06-17-18,"United States Department of Labor, Fiduciary security, Joe Biden, Finance, Law"
06-17-18,"Jens Stoltenberg, Secretary General of NATO, NATO, Joe Biden"
06-17-19,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire, United States Congress, Virginia's 5th Congressional District"
06-17-19,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-19,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-19,"Joe Biden, Karine Jean-Pierre, White House Press Secretary, Barack Obama"
06-17-19,"Joe Biden, Donald Trump, Debate, CNN, United States presidential debates"
06-17-19,"Maryland, Illegal immigration"
06-17-19,"United States Secret Service, Joe Biden, Scripps News, California"
06-17-19,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-17-19,"OpenAI, Paul Nakasone, Director of the National Security Agency of the USA, United States Cyber Command, Board of directors, Artificial intelligence"
06-17-19,"Kathy Hochul, New York, Mask, Protest, Antisemitism"
06-17-19,"Mexico, Immigration, Mexico-United States border, Joe Biden"
06-17-19,"Joe Biden, Illegal immigration, Deportation"
06-17-19,"Primary election, Senate, Kurt Semder, Candidate, Democracy, New York"
06-17-19,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-17-19,"Tony Awards, Hillary Clinton"
06-17-20,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-20,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress, Virginia's 5th Congressional District"
06-17-20,"Joe Biden, The White House, Karine Jean-Pierre, Barack Obama, Donald Trump"
06-17-20,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-20,"Joe Biden, Illegal immigration"
06-17-20,"Mexico, Immigration, Mexico-United States border, Joe Biden"
06-17-20,"Maryland, Illegal immigration"
06-17-20,"Cryptocurrency, Donald Trump"
06-17-20,"United States Secret Service, Joe Biden, California, Scripps News, Los Angeles"
06-17-20,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-17-21,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-17-21,"Ukraine, Russia, Vladimir Putin, Mark Galeotti, Russo-Ukrainian War, Yevgeny Prigozhin"
06-17-21,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, Barack Obama, United States Congress"
06-17-21,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress, Virginia's 5th Congressional District"
06-17-21,"Joe Biden, Donald Trump, Debate, CNN, United States presidential debates"
06-17-21,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-21,"Cryptocurrency, Donald Trump, Token coin"
06-17-21,"Chuck Schumer, Father's Day"
06-17-23,"Supreme Court of the United States, Trademark, Donald Trump"
06-17-23,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-17-23,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-17-23,"Ukraine, Russia, Vladimir Putin, Mark Galeotti, Russo-Ukrainian War, Yevgeny Prigozhin"
06-17-23,Supreme Court of the United States
06-17-23,"Donald Trump, Bitcoin, Cryptocurrency, Digital currency"
06-18-00,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-18-00,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-00,"Joe Biden, Illegal immigration, Deportation"
06-18-00,"Bump stock, Supreme Court of the United States, Donald Trump"
06-18-01,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-01,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-18-01,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-18-01,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-01,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-01,"Supreme Court of the United States, Trademark, Donald Trump"
06-18-01,"Joe Biden, Illegal immigration, Deportation"
06-18-02,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-02,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-18-02,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-18-02,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-03,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-03,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-18-03,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-03,"Jens Stoltenberg, Secretary General of NATO, NATO, Joe Biden"
06-18-03,"Joe Biden, Illegal immigration, Deportation"
06-18-03,"Armenia, Russia, Nikol Pashinyan, Collective Security Treaty Organization, Prime Minister of Armenia"
06-18-03,"San Francisco, Debate, Candidate, Aaron Peskin, Mark Farrell, London Breed"
06-18-03,"National Public Radio, Up First, Vladimir Putin, Morning Edition, Immigration"
06-18-03,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-04,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-04,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-04,"Cannabis, Wes Moore, Governor of Maryland, Pardon"
06-18-04,"National Public Radio, Up First, Vladimir Putin, Morning Edition, Immigration"
06-18-04,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-04,"Pfizer, Vaccine, Kris Kobach, Kansas Attorney General"
06-18-05,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-05,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-05,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-05,"Ukraine, Lloyd Austin, NATO"
06-18-05,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-05,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-18-06,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-06,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-18-06,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-06,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-06,"Ukraine, Lloyd Austin, NATO"
06-18-06,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-06,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-18-07,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-07,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-18-07,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-07,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-07,"Ukraine, Lloyd Austin, NATO"
06-18-07,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-07,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-18-08,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-08,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-18-08,"Robert Morris, Gateway Church, Pastor, Donald Trump"
06-18-08,"Canada, NATO, Bill Blair, Arctic, Military budget"
06-18-08,"Ukraine, Lloyd Austin, NATO"
06-18-08,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-08,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-18-09,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire, United States Congress"
06-18-09,"Joe Biden, Immigration"
06-18-09,"Boeing Co, Dave Calhoun, Chief Executive Officer, Whistleblowing, United States Senate"
06-18-09,"Volodymyr Zelenskyy, Russia, Vladimir Putin, President of Ukraine"
06-18-09,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-09,"NATO, Nuclear weapon, Jens Stoltenberg, Russia, Secretary General of NATO"
06-18-09,"Georgetown County, Democratic Party, Primary election, Candidate, Everett Carolina"
06-18-09,"Jen Psaki, Afghanistan, White House Press Secretary, Michael McCaul, Joe Biden, United States House of Representatives"
06-18-09,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-18-09,"Social media, United States Surgeon General, Warning label, Vivek Hallegere Murthy"
06-18-10,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden"
06-18-10,"Juneteenth, Holiday"
06-18-10,"Boeing Co, Dave Calhoun, Whistleblowing, Chief Executive Officer, United States Senate"
06-18-10,"NATO, Nuclear weapon, Jens Stoltenberg, Russia, Secretary General of NATO"
06-18-10,"Primary election, Oklahoma, Early voting, Republican Party"
06-18-10,"George Norcross, New Jersey, Power broker, Indictment, Democratic Party"
06-18-10,"Pfizer, Vaccine, Kris Kobach, Kansas Attorney General"
06-18-10,"United States Coast Guard, Haiti, U.S. Department of Homeland Security, The Bahamas, Immigration"
06-18-11,"Deferred Action for Childhood Arrivals, Immigration, Joe Biden, United States Congress"
06-18-11,"Juneteenth, Holiday"
06-18-11,"United States Coast Guard, Haiti, U.S. Department of Homeland Security, The Bahamas, Immigration"
06-18-11,"Boeing Co, Dave Calhoun, Whistleblowing, Chief Executive Officer, United States Senate"
06-18-11,"Volodymyr Zelenskyy, Russia, Vladimir Putin, President of Ukraine"
06-18-11,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress"
06-18-11,"NATO, Nuclear weapon, Jens Stoltenberg, Russia, Secretary General of NATO, Nuclear warfare"
06-18-11,"White House Press Secretary, Karine Jean-Pierre, Joe Biden"
06-18-11,"Pfizer, Vaccine, Kris Kobach, Kansas Attorney General"
06-18-11,"Matt Gaetz, Republican Party, United States House Committee on Ethics, Ethics, Kevin McCarthy, Member of Congress, United States Representative"
06-18-11,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-12,"Joe Biden, Immigration"
06-18-12,"Matt Gaetz, United States House Committee on Ethics, Republican Party, Ethics, Kevin McCarthy, Member of Congress, Misconduct"
06-18-12,"White House Press Secretary, Karine Jean-Pierre, Joe Biden"
06-18-12,"Boeing Co, Dave Calhoun, Whistleblowing, Chief Executive Officer, United States Senate"
06-18-12,"United States Coast Guard, Haiti, U.S. Department of Homeland Security, The Bahamas, Immigration"
06-18-12,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress"
06-18-12,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-12,"NATO, Nuclear weapon, Jens Stoltenberg, Russia, Secretary General of NATO, Nuclear warfare"
06-18-12,"Donald Trump, Debra Messing, The Apprentice, STD testing, Ramin Setoodeh, Will & Grace"
06-18-12,"North Carolina, Redistricting, Gerrymandering"
06-18-12,"Donald Trump, Appeal, Fulton County, District attorney"
06-18-13,"Joe Biden, Immigration"
06-18-13,"Matt Gaetz, United States House Committee on Ethics, Republican Party, Ethics, Misconduct, Kevin McCarthy, Member of Congress"
06-18-13,"Boeing Co, Dave Calhoun, Whistleblowing, Chief Executive Officer, United States Senate"
06-18-13,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-13,"North Carolina, Redistricting, Gerrymandering"
06-18-13,"Donald Trump, Appeal, Fulton County, District attorney"
06-18-13,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire, United States Congress"
06-18-13,"Donald Trump, The Apprentice, Debra Messing, STD testing, Will & Grace, Ramin Setoodeh"
06-18-13,"Russia, Vladimir Putin, Ukraine, Argentina, Slovenia"
06-18-13,"NATO, Nuclear weapon, Jens Stoltenberg, Russia, Secretary General of NATO, Nuclear warfare"
06-18-14,"Boeing Co, Dave Calhoun, Whistleblowing, United States Senate, Chief Executive Officer"
06-18-14,"Joe Biden, Immigration"
06-18-14,"Matt Gaetz, United States House Committee on Ethics, Republican Party, Ethics, Kevin McCarthy, Misconduct, Member of Congress"
06-18-14,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-14,"Steve Bannon, Donald Trump, Appeal, Contempt of Congress"
06-18-14,"United States Coast Guard, Haiti, U.S. Department of Homeland Security, The Bahamas, Immigration"
06-18-14,"Abortion, Missouri"
06-18-14,"North Carolina, Redistricting, Gerrymandering"
06-18-14,"Clarence Thomas, Supreme Court of the United States, Harlan Crow, United States Senate, Republican Party, Dick Durbin"
06-18-15,"Boeing Co, Dave Calhoun, Whistleblowing, United States Senate, Chief Executive Officer"
06-18-15,"Joe Biden, Immigration"
06-18-15,"Steve Bannon, Donald Trump, Appeal, Contempt of Congress"
06-18-15,"Abortion, Missouri"
06-18-15,"Joe Biden, United States Senator, Alejandro Mayorkas, Illegal immigration, Josh Hawley, Republican Party"
06-18-15,"Juneteenth, Holiday"
06-18-15,"Matt Gaetz, United States House Committee on Ethics, Ethics, Republican Party, Misconduct, Kevin McCarthy, Member of Congress"
06-18-15,"Donald Trump, Media"
06-18-15,"Law, Joe Biden"
06-18-15,"North Korea, Kim Jong Un, Nuclear weapon, Vladimir Putin"
06-18-15,"North Carolina, Redistricting, Gerrymandering"
06-18-15,"Rand Paul, Josh Hawley, United States Senate, Anthony Fauci"
06-18-15,"Deficit spending, Congressional Budget Office, National debt of the United States"
06-18-16,"Joe Biden, Immigration"
06-18-16,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-18-16,"Joe Biden, United States Senator, Alejandro Mayorkas, Illegal immigration, Josh Hawley, U.S. Department of Homeland Security, Republican Party"
06-18-16,"Steve Bannon, Donald Trump, Appeal, Contempt of Congress"
06-18-16,"Abortion, Missouri"
06-18-16,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-16,"United States anti-abortion movement, Joe Biden, United States Department of Justice, Law"
06-18-16,"North Carolina, Redistricting, Gerrymandering"
06-18-16,"Matt Gaetz, United States House Committee on Ethics, Republican Party, Ethics, Misconduct, Member of Congress, Kevin McCarthy"
06-18-17,"Joe Biden, Immigration"
06-18-17,"Boeing Co, Dave Calhoun, Whistleblowing, United States Senate, Chief Executive Officer"
06-18-17,"Juneteenth, Slavery in the United States, Holiday"
06-18-17,"Primary election, Oklahoma, Virginia, Republican Party"
06-18-17,"Steve Bannon, Donald Trump, Appeal, Contempt of Congress"
06-18-17,"Donald Trump, Racine, Wisconsin, Joe Biden, Republican Party"
06-18-17,"Law, Joe Biden"
06-18-17,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-17,"Abortion, Missouri"
06-18-17,"Federal Trade Commission, TikTok, United States Department of Justice, ByteDance"
06-18-17,"North Carolina, Redistricting, Gerrymandering"
06-18-17,"George Latimer, Democratic Party, Hillary Clinton, United States Congress, New York's 16th Congressional District, Primary election"
06-18-18,"Deferred Action for Childhood Arrivals, Joe Biden, Immigration"
06-18-18,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-18-18,"Donald Trump, Appeal, Fulton County, District attorney"
06-18-18,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-18-18,"Debate, Joe Biden, Donald Trump, CNN, United States presidential debates"
06-18-18,"Joe Biden, United States Senator, Alejandro Mayorkas, Illegal immigration, Josh Hawley, U.S. Department of Homeland Security, Republican Party"
06-18-18,"Lisa Blunt Rochester, United States Senate, Republican Party, Delaware, United States Representative, Tom Carper"
06-18-18,"North Carolina, Redistricting, Gerrymandering"
06-18-18,"Tom Cole, Republican Party, Oklahoma, Oklahoma's 4th Congressional District, United States House of Representatives"
06-18-18,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-19,"Juneteenth, Pasadena, California, Holiday, Folsom, Slavery in the United States"
06-18-19,"Boeing Co, Dave Calhoun, Whistleblowing, United States Senate, Chief Executive Officer"
06-18-19,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-18-19,"Mexico, Immigration, Mexico-United States border, Joe Biden"
06-18-19,"Antony Blinken, Egypt, Vladimir Putin, North Korea"
06-18-19,"Primary election, Georgia, Two-round system"
06-18-19,"Donald Trump, Appeal, Fulton County, District attorney"
06-18-19,"Debate, Joe Biden, Donald Trump, CNN, United States presidential debates"
06-18-19,"Law, Joe Biden"
06-18-19,"North Carolina, Redistricting, Gerrymandering"
06-18-20,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-18-20,"Georgia, Primary election, Two-round system"
06-18-20,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-18-20,"Joe Biden, United States Department of Justice, Abortion clinic, Law"
06-18-20,"Joe Biden, Immigration, Deferred Action for Childhood Arrivals"
06-18-21,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-18-21,"Two-round system, Georgia, Election day, Democratic Party"
06-18-21,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-18-21,"Juneteenth, Holiday"
06-18-21,"Immigration, Congressional Budget Office, Joe Biden, United States Congress, Deficit spending"
06-18-21,"Oklahoma Republican Party, United States Congress, Primary election"
06-18-22,"Virginia's 10th Congressional District, Democratic Party, Virginia, Suhas Subramanyam, Republican Party, Jennifer Wexton, Primary election, United States House of Representatives"
06-18-22,"Georgia, Primary election, Two-round system"
06-18-22,"Juneteenth, Holiday"
06-18-22,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-18-22,"Clayton County, Sheriff, Candidate"
06-18-22,"Connie Johnson, Nikki Nice, United States Senate, Oklahoma, State senator, Republican Party"
06-18-23,"Republican Party, United States Senate, Tim Kaine, Virginia, Primary election, Donald Trump"
06-18-23,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-18-23,"Georgia, Primary election, Two-round system"
06-18-23,"Superior court, Augusta, Lyons III Charles H S, Candidate"
06-19-00,"Boeing Co, Dave Calhoun, Whistleblowing, United States Senate, Chief Executive Officer"
06-19-00,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-19-00,"Lisa Blunt Rochester, United States Senate, Republican Party, Delaware, United States Representative, Tom Carper"
06-19-00,"Primary election, Georgia, Two-round system"
06-19-00,"Joe Biden, Immigration, Deferred Action for Childhood Arrivals"
06-19-01,"Boeing Co, Dave Calhoun, Whistleblowing, United States Senate, Chief Executive Officer"
06-19-01,"Ethereum, U.S. Securities and Exchange Commission, Cryptocurrency, Consensys"
06-19-01,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-19-01,"Primary election, Georgia, Two-round system"
06-19-02,"Juneteenth, Texas, Fort Worth, Racism"
06-19-02,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-02,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-19-02,"Lisa Blunt Rochester, United States Senate, Republican Party, Delaware, United States Representative, Tom Carper"
06-19-02,"Antony Blinken, Russia, North Korea, Vladimir Putin, Iran"
06-19-02,"Anthony Fauci, Donald Trump"
06-19-02,"Mexico, Immigration, Joe Biden, Mexico-United States border"
06-19-03,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-04,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-04,"Juneteenth, Texas, Fort Worth, Racism"
06-19-04,"Ethereum, U.S. Securities and Exchange Commission, Cryptocurrency, Consensys"
06-19-04,"North Korea, Russia, Group of Seven, Vladimir Putin, United Nations"
06-19-04,"Donald Trump, Gag order"
06-19-04,"Conservative Party, Labour Party, Tory, Rishi Sunak, Brexit"
06-19-04,"Georgia, Disinformation"
06-19-05,"Juneteenth, Holiday"
06-19-05,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-19-05,"Ethereum, U.S. Securities and Exchange Commission, Cryptocurrency, Consensys"
06-19-05,"Conservative Party, Labour Party, Tory, Rishi Sunak, Brexit"
06-19-05,"Myanmar (Burma), Military junta, Min Aung Hlaing, General election"
06-19-05,"Israel Defense Forces, Yair Netanyahu, Benjamin Netanyahu, Shin Bet, Comptroller"
06-19-05,"Tucker Carlson, Clive Palmer, Australia, United Australia Party"
06-19-05,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-05,"Texas Children's Hospital - West Tower, Indictment, United States Department of Justice, Medicine, Gender"
06-19-06,"Juneteenth, Holiday"
06-19-06,"Primary election, Republican Party, Virginia, Donald Trump, John McGuire"
06-19-06,"Donald Trump, Gag order"
06-19-06,"Primary election, Georgia, Two-round system"
06-19-06,"Juneteenth, Confederate States of America"
06-19-06,"Ethereum, U.S. Securities and Exchange Commission, Cryptocurrency, Consensys"
06-19-07,"Republican Party, Primary election, Virginia, Donald Trump, John McGuire"
06-19-07,"Donald Trump, Gag order"
06-19-07,"Primary election, Georgia, Two-round system"
06-19-07,"Joe Biden, United States Senator, Alejandro Mayorkas, Illegal immigration, Josh Hawley, U.S. Department of Homeland Security, Republican Party"
06-19-07,"Nikki Haley, Ajit Singh Randhawa, Father's Day"
06-19-07,"Matt Gaetz, United States House Committee on Ethics, Ethics, Republican Party, Misconduct, Member of Congress, Kevin McCarthy"
06-19-08,"Donald Trump, Gag order"
06-19-08,"Primary election, Georgia, Two-round system"
06-19-08,"Republican Party, Primary election, Donald Trump, Virginia, John McGuire, United States Congress"
06-19-08,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-19-08,"Matt Gaetz, United States House Committee on Ethics, Ethics, Republican Party, Misconduct, Member of Congress, Kevin McCarthy"
06-19-08,"Tulsa race massacre, Oklahoma, Reparations, Massacre, Supreme Court of the United States"
06-19-09,"Juneteenth, Public holiday, Federal holidays in the United States"
06-19-09,"Juneteenth, Holiday"
06-19-09,"Reparations, Slavery, Juneteenth, African Americans"
06-19-09,"Donald Trump, Gag order"
06-19-09,"Tulsa race massacre, Oklahoma, Reparations, Massacre, Supreme Court of the United States"
06-19-09,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-09,"Republican Party, Primary election, Donald Trump, Virginia, John McGuire"
06-19-09,"Juneteenth, Slavery in the United States"
06-19-09,"Primary election, Georgia, Two-round system"
06-19-09,"Matt Gaetz, United States House Committee on Ethics, Ethics, Republican Party, Misconduct, Member of Congress, Kevin McCarthy"
06-19-09,"Boeing Co, Dave Calhoun, United States Senate, Whistleblowing, Chief Executive Officer"
06-19-10,"Juneteenth, Holiday"
06-19-10,"Juneteenth, Public holiday, Federal holidays in the United States"
06-19-10,"Reparations, Slavery, Juneteenth, African Americans"
06-19-10,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-10,"Tulsa race massacre, Oklahoma, Reparations, Massacre, Supreme Court of the United States"
06-19-10,"Donald Trump, Gag order"
06-19-11,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-11,"Juneteenth, Holiday"
06-19-11,"Reparations, Slavery, Juneteenth, Financial compensation"
06-19-11,"Juneteenth, Texas, Fort Worth, Racism"
06-19-12,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-12,"Juneteenth, Slavery in the United States"
06-19-12,"Juneteenth, Public holiday, Federal holidays in the United States"
06-19-12,"Hungary, Presidency of the Council of the European Union, Donald Trump, Presidency, Viktor Orbán, Europe"
06-19-13,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-13,"Hungary, Presidency of the Council of the European Union, Donald Trump, Presidency, Europe, Viktor Orbán"
06-19-13,"Juneteenth, Slavery in the United States"
06-19-14,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-14,"Hungary, Presidency of the Council of the European Union, Donald Trump, Presidency, Europe, Viktor Orbán"
06-19-15,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-15,"Hungary, Presidency of the Council of the European Union, Donald Trump, Presidency, Viktor Orbán, Europe"
06-19-17,"Ten Commandments, Louisiana, Law, Jeff Landry"
06-19-17,"Hungary national football team, Viktor Orbán, Fidesz, Political football, UEFA European Championship"
06-19-17,"International sanctions against Iran, Switzerland, Thomson Reuters Corporation, United States, Nuclear program of Iran"
